timestamp,student_username,student_id,cohort,caseId,caseTitle,qid,type,difficulty,client_need,topic,points,max,correct,student_answer,correct_answer
2026-01-06T15:46:54.264612,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q01,mcq,,,,0,1,False,"""""",""""""
2026-01-06T15:46:54.264612,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q02,sata,,,,0,1,False,"""""",""""""
2026-01-06T15:46:54.264612,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q03,ordered_response,,,,0,1,False,"""""",""""""
2026-01-06T15:46:54.264612,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q04,cloze,,,,0,1,False,"""""",""""""
2026-01-06T15:46:54.264612,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q05,matrix,,,,0,1,False,"""""",""""""
2026-01-06T15:46:54.264612,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q06,evolving_case,,,,0,1,False,"""""",""""""
2026-01-06T15:46:54.264612,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q07,mcq,,,,0,1,False,"""""",""""""
2026-01-06T15:46:54.264612,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q08,sata,,,,0,1,False,"""""",""""""
2026-01-06T15:46:54.264612,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q09,ordered_response,,,,0,1,False,"""""",""""""
2026-01-06T15:46:54.264612,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q10,cloze,,,,0,1,False,"""""",""""""
2026-01-06T15:46:54.264612,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q11,matrix,,,,0,1,False,"""""",""""""
2026-01-06T15:46:54.264612,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q12,evolving_case,,,,0,1,False,"""""",""""""
2026-01-06T15:46:54.264612,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q13,mcq,,,,0,1,False,"""""",""""""
2026-01-06T15:46:54.264612,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q14,sata,,,,0,1,False,"""""",""""""
2026-01-06T15:46:54.264612,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q15,ordered_response,,,,0,1,False,"""""",""""""
2026-01-06T15:46:54.264612,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q16,cloze,,,,0,1,False,"""""",""""""
2026-01-06T15:46:54.264612,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q17,matrix,,,,0,1,False,"""""",""""""
2026-01-06T15:46:54.264612,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q18,evolving_case,,,,0,1,False,"""""",""""""
2026-01-06T15:46:54.264612,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q19,mcq,,,,1,1,True,"""""",""""""
2026-01-06T15:46:54.264612,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q20,sata,,,,0,1,False,"""""",""""""
2026-01-06T15:46:54.264612,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q21,ordered_response,,,,0,1,False,"""""",""""""
2026-01-06T15:46:54.264612,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q22,cloze,,,,0,1,False,"""""",""""""
2026-01-06T15:46:54.264612,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q23,matrix,,,,0,1,False,"""""",""""""
2026-01-06T15:46:54.264612,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q24,evolving_case,,,,0,1,False,"""""",""""""
2026-01-06T15:46:54.264612,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q25,mcq,,,,0,1,False,"""""",""""""
2026-01-06T15:46:54.264612,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q26,sata,,,,0,1,False,"""""",""""""
2026-01-06T15:46:54.264612,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q27,ordered_response,,,,0,1,False,"""""",""""""
2026-01-06T15:46:54.264612,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q28,cloze,,,,0,1,False,"""""",""""""
2026-01-06T15:46:54.264612,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q29,matrix,,,,0,1,False,"""""",""""""
2026-01-06T15:46:54.264612,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q30,evolving_case,,,,0,1,False,"""""",""""""
2026-01-06T15:46:58.827368,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q01,mcq,,,,0,1,False,"""""",""""""
2026-01-06T15:46:58.827368,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q02,sata,,,,0,1,False,"""""",""""""
2026-01-06T15:46:58.827368,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q03,ordered_response,,,,0,1,False,"""""",""""""
2026-01-06T15:46:58.827368,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q04,cloze,,,,0,1,False,"""""",""""""
2026-01-06T15:46:58.827368,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q05,matrix,,,,0,1,False,"""""",""""""
2026-01-06T15:46:58.827368,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q06,evolving_case,,,,0,1,False,"""""",""""""
2026-01-06T15:46:58.827368,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q07,mcq,,,,0,1,False,"""""",""""""
2026-01-06T15:46:58.827368,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q08,sata,,,,0,1,False,"""""",""""""
2026-01-06T15:46:58.827368,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q09,ordered_response,,,,0,1,False,"""""",""""""
2026-01-06T15:46:58.827368,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q10,cloze,,,,0,1,False,"""""",""""""
2026-01-06T15:46:58.827368,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q11,matrix,,,,0,1,False,"""""",""""""
2026-01-06T15:46:58.827368,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q12,evolving_case,,,,0,1,False,"""""",""""""
2026-01-06T15:46:58.827368,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q13,mcq,,,,0,1,False,"""""",""""""
2026-01-06T15:46:58.827368,,,,adult_htn_emerg_01,Hypertensive Emergency – Severe Headache and Visual Changes,adult_htn_emerg_01-Q14,sata,,,,0,1,False,"""""",""""""
